electronics.smartphone,14832387
computers.notebook,2103024
electronics.video.tv,2071305
electronics.clocks,1994440
apparel.shoes,1836676
electronics.audio.headphone,1644910
appliances.environment.vacuum,1445029
appliances.kitchen.refrigerators,1362018
appliances.kitchen.washer,1313807
computers.desktop,673875
furniture.living_room.cabinet,539983
furniture.bedroom.bed,519487
apparel.shoes.keds,475966
electronics.tablet,464073
auto.accessories.player,456658
furniture.living_room.sofa,417428
construction.tools.drill,381287
appliances.kitchen.oven,362455
kids.carriage,336311
electronics.telephone,327630
appliances.kitchen.blender,317090
accessories.bag,306574
electronics.audio.subwoofer,305995
appliances.kitchen.microwave,285186
auto.accessories.alarm,283328
appliances.iron,278574
appliances.environment.air_heater,269283
auto.accessories.videoregister,267878
appliances.sewing_machine,266114
appliances.kitchen.kettle,264161
appliances.kitchen.meat_grinder,242604
apparel.costume,241589
computers.peripherals.printer,209130
computers.peripherals.monitor,203806
kids.toys,199612
construction.tools.generator,196994
appliances.environment.water_heater,194075
furniture.kitchen.table,192562
appliances.kitchen.hood,191699
construction.tools.saw,185580
furniture.kitchen.chair,180695
appliances.kitchen.hob,179125
appliances.kitchen.dishwasher,156018
computers.components.videocards,147797
construction.tools.welding,141960
appliances.kitchen.mixer,140422
electronics.audio.acoustic,137239
appliances.kitchen.coffee_machine,128164
appliances.kitchen.grill,116721
computers.peripherals.mouse,109467
computers.components.hdd,108021
sport.bicycle,106037
appliances.environment.air_conditioner,97701
apparel.dress,95954
sport.trainer,93430
appliances.personal.scales,88564
kids.dolls,86219
furniture.living_room.chair,85811
auto.accessories.compressor,85659
appliances.personal.hair_cutter,85361
computers.peripherals.keyboard,84909
computers.components.cpu,81644
computers.components.memory,76162
computers.components.motherboard,74169
appliances.kitchen.juicer,71894
kids.skates,70649
computers.components.cooler,70234
accessories.wallet,68909
electronics.camera.video,63819
electronics.audio.music_tools.piano,60363
appliances.ironing_board,60187
kids.swing,57430
apparel.jeans,52145
apparel.shirt,50460
auto.accessories.radar,47145
apparel.underwear,47145
construction.components.faucet,45919
computers.ebooks,45761
electronics.audio.microphone,44645
appliances.personal.massager,42291
construction.tools.pump,41675
appliances.kitchen.toster,38960
computers.components.power_supply,33989
apparel.jumper,31269
construction.tools.light,30203
kids.fmcg.diapers,29296
furniture.bedroom.blanket,28269
furniture.bedroom.pillow,28175
furniture.bathroom.toilet,28060
apparel.trousers,25019
furniture.bathroom.bath,22472
electronics.video.projector,22423
apparel.tshirt,21179
medicine.tools.tonometer,20764
construction.tools.painting,19791
electronics.camera.photo,18963
appliances.kitchen.steam_cooker,18856
appliances.kitchen.coffee_grinder,18206
sport.snowboard,17375
sport.ski,16382
furniture.universal.light,15856
apparel.shoes.sandals,15139
auto.accessories.parktronic,14337
apparel.shoes.moccasins,12384
stationery.cartrige,11943
country_yard.cultivator,9557
apparel.skirt,8766
sport.tennis,7539
computers.peripherals.camera,7061
country_yard.lawn_mower,6173
auto.accessories.winch,5876
apparel.shoes.slipons,5552
accessories.umbrella,4890
apparel.belt,4527
apparel.shoes.ballet_shoes,4299
apparel.glove,3737
apparel.scarf,3567
construction.tools.soldering,3481
apparel.sock,3455
auto.accessories.anti_freeze,3397
appliances.environment.fan,3316
apparel.shoes.step_ins,1750
country_yard.furniture.hammok,1567
apparel.shoes.espadrilles,1404
apparel.shorts,639
construction.tools.screw,182
appliances.kitchen.fryer,99
country_yard.furniture.bench,2
apparel.jacket,1
,0
